"date_d_m","sugar_conc","group","box","sample_name","sex","note","dilution","meanCBcount","CBLoadPerB","conc","colony"
"24-5","10","4","A","10_4A 5","female","",1,4.2,113400,378,"1"
"24-5","10","4","A","10_4A 6","female","",1,5.2,140400,468,"1"
"24-5","10","4","B","10_4B 1","female","",1,0,0,0,"1"
"24-5","10","4","B","10_4B 2","female","",1,0,0,0,"1"
"24-5","10","4","B","10_4B 3","female","",1,0.2,5400,18,"1"
"24-5","10","4","B","10_4B 4","female","",1,0,0,0,"1"
"24-5","10","4","B","10_4B 5","female","",1,0.2,5400,18,"1"
"24-5","10","4","B","10_4B 6","female","",1,0,0,0,"1"
"24-5","35","4","A","35_4A db3","female","many dead crithidia",1,1,27000,90,"1"
"24-5","35","4","A","35_4A 4","female","",1,8,216000,720,"1"
"24-5","35","4","A","35_4A 5","female","",1,6,162000,540,"1"
"24-5","35","4","A","35_4A 6","female","dead crithidia exist but not much",1,0,0,0,"1"
"24-5","35","4","B","35_4B 2","female","",1,4.2,113400,378,"1"
"24-5","35","4","B","35_4B 3","female","",10,4,1080000,3600,"1"
"24-5","35","4","B","35_4B 4","female","",10,3.8,1026000,3420,"1"
"24-5","35","4","B","35_4B 5","female","",10,6.4,1728000,5760,"1"
"24-5","35","4","B","35_4B 6","female","",10,2.4,648000,2160,"1"
"24-5","60","4","A","60_4A 4","female","",10,7.2,1944000,6480,"1"
"24-5","60","4","A","60_4A 5","female","",10,3,810000,2700,"1"
"24-5","60","4","A","60_4A 6","female","",10,4,1080000,3600,"1"
"24-5","60","4","B","60_4B 1","female","",1,8.8,475200,792,"1"
"24-5","60","4","B","60_4B 2","female","",1,5.2,140400,468,"1"
"24-5","60","4","B","60_4B 3","female","",1,1.8,48600,162,"1"
"24-5","60","4","B","60_4B 4","female","",1,0.6,16200,54,"1"
"24-5","60","4","B","60_4B 5","female","",1,0.4,10800,36,"1"
"24-5","60","4","B","60_4B 6","female","",1,5.4,145800,486,"1"
"28-5","10","5","A","10_5A db3","female","",1,3.2,86400,288,"2"
"28-5","10","5","A","10_5A db4","female","",1,3.4,91800,306,"2"
"28-5","10","5","A","10_5A 5","female","",1,1.6,43200,144,"2"
"28-5","10","5","A","10_5A 6","female","",1,2.4,64800,216,"2"
"28-5","10","5","A","10_5A 7","female","",1,0.8,21600,72,"2"
"28-5","10","5","A","10_5A 8","female","",1,0.6,16200,54,"2"
"28-5","10","5","A","10_5A 9","female","",10,2.6,702000,2340,"2"
"28-5","10","5","B","10_5B 1","female","",1,5.6,151200,504,"2"
"28-5","10","5","B","10_5B 2","female","",1,4.2,113400,378,"2"
"28-5","10","5","B","10_5B 3","female","",1,0.4,10800,36,"2"
"28-5","10","5","B","10_5B 4","female","",1,0,0,0,"2"
"28-5","10","5","B","10_5B 5","female","",1,0.2,5400,18,"2"
"28-5","10","5","B","10_5B 6","female","",1,0,0,0,"2"
"28-5","10","5","B","10_5B 7","female","",1,0.2,5400,18,"2"
"28-5","10","5","B","10_5B 8","female","",1,0.4,10800,36,"2"
"28-5","35","5","A","35_5A db2","female","",10,3.6,972000,3240,"2"
"28-5","35","5","A","35_5A 3","female","",10,0.8,216000,720,"2"
