"date_d_m","sugar_conc","group","box","sample_name","sex","note","PBS_ul","dilution","meanCBcount","CBLoadPerB","colony"
"19-5","35","4","A","35_4A 1","female","many non-mobile similar to crithidia","300",1,0.2,5400,"1"
"19-5","0","4","B","0_4B 1","female","","300",1,0,0,"1"
"19-5","0","4","B","0_4B 2","female","","300",1,0,0,"1"
"19-5","0","4","B","0_4B 3","female","","300",1,0,0,"1"
"20-5","0","4","B","0_4B 4","female","","300",1,0,0,"1"
"20-5","0","4","B","0_4B 5","female","","300",1,0,0,"1"
"20-5","0","4","B","0_4B 6","female","all 0_4B dead","300",1,0,0,"1"
"20-5","35","4","A","35_4A 2","female","","300",1,0,0,"1"
"21-5","0","4","A","0_4A 1","female","","300",1,0.4,10800,"1"
"21-5","0","4","A","0_4A 2","female","","300",1,0.4,10800,"1"
"21-5","60","4","A","60_4A 1","female","","300",1,0,0,"1"
"21-5","60","4","A","60_4A 2","female","","300",1,0,0,"1"
"22-5","0","4","A","0_4A 3","female","did I add 300/375??? shit","300",1,3.6,97200,"1"
"22-5","10","4","A","10_4A 1","female","","300",1,0,0,"1"
"22-5","60","4","A","60_4A 3","female","","300",100,3.2,8640000,"1"
"23-5","0","4","A","0_4A 4","female","dead at 22 after dissection check time, around sugar solution sampling time","300",1,0,0,"1"
"23-5","0","4","A","0_4A 5","female","dead at 22 after dissection check time, around sugar solution sampling time","300",1,0.6,16200,"1"
"23-5","0","5","B","0_5B 1","female","","300",1,0,0,"2"
"23-5","0","5","B","0_5B 2","female","","300",1,0,0,"2"
"23-5","0","5","B","0_5B 3","female","","300",1,0,0,"2"
"23-5","0","5","B","0_5B 4","female","","300",1,0,0,"2"
"23-5","0","5","B","0_5B 5","female","susceptible dead crithidia existed","300",1,0,0,"2"
"23-5","0","5","B","0_5B 6","female","","300",1,0,0,"2"
"23-5","10","4","A","10_4A 2","female","","300",1,0,0,"1"
"23-5","10","4","A","10_4A 3","female","","300",1,0,0,"1"
"23-5","10","4","A","10_4A 4","female","","300",1,0,0,"1"
"23-5","35","4","B","35_4B 1","female","","300",1,0.6,16200,"1"
"24-5","10","4","A","10_4A 5","female","","300",1,4.2,113400,"1"
"24-5","10","4","A","10_4A 6","female","","300",1,5.2,140400,"1"
"24-5","10","4","B","10_4B 1","female","","300",1,0,0,"1"
"24-5","10","4","B","10_4B 2","female","","300",1,0,0,"1"
"24-5","10","4","B","10_4B 3","female","","300",1,0.2,5400,"1"
"24-5","10","4","B","10_4B 4","female","","300",1,0,0,"1"
"24-5","10","4","B","10_4B 5","female","","300",1,0.2,5400,"1"
"24-5","10","4","B","10_4B 6","female","","300",1,0,0,"1"
"24-5","35","4","A","35_4A db3","female","many dead crithidia","300",1,1,27000,"1"
"24-5","35","4","A","35_4A 4","female","","300",1,8,216000,"1"
"24-5","35","4","A","35_4A 5","female","","300",1,6,162000,"1"
"24-5","35","4","A","35_4A 6","female","dead crithidia exist but not much","300",1,0,0,"1"
