"sugar_conc","group","box","sample_name","sex","dilution","meanCBcount","CBLoadPerB","colony","exp_day","status"
"35","4","A","35_4A 1","female",1,0.2,5400,1,8,1
"0","4","B","0_4B 1","female",1,0,0,1,8,1
"0","4","B","0_4B 2","female",1,0,0,1,8,1
"0","4","B","0_4B 3","female",1,0,0,1,8,1
"0","4","B","0_4B 4","female",1,0,0,1,9,1
"0","4","B","0_4B 5","female",1,0,0,1,9,1
"0","4","B","0_4B 6","female",1,0,0,1,9,1
"35","4","A","35_4A 2","female",1,0,0,1,9,1
"0","4","A","0_4A 1","female",1,0.4,10800,1,10,1
"0","4","A","0_4A 2","female",1,0.4,10800,1,10,1
"60","4","A","60_4A 1","female",1,0,0,1,10,1
"60","4","A","60_4A 2","female",1,0,0,1,10,1
"0","4","A","0_4A 3","female",1,3.6,97200,1,11,1
"10","4","A","10_4A 1","female",1,0,0,1,11,1
"60","4","A","60_4A 3","female",100,3.2,8640000,1,11,1
"0","4","A","0_4A 4","female",1,0,0,1,12,1
"0","4","A","0_4A 5","female",1,0.6,16200,1,12,1
"0","5","B","0_5B 1","female",1,0,0,2,8,1
"0","5","B","0_5B 2","female",1,0,0,2,8,1
"0","5","B","0_5B 3","female",1,0,0,2,8,1
"0","5","B","0_5B 4","female",1,0,0,2,8,1
"0","5","B","0_5B 5","female",1,0,0,2,8,1
"0","5","B","0_5B 6","female",1,0,0,2,8,1
"10","4","A","10_4A 2","female",1,0,0,1,12,1
"10","4","A","10_4A 3","female",1,0,0,1,12,1
"10","4","A","10_4A 4","female",1,0,0,1,12,1
"35","4","B","35_4B 1","female",1,0.6,16200,1,12,1
"10","4","A","10_4A 5","female",1,4.2,113400,1,13,0
"10","4","A","10_4A 6","female",1,5.2,140400,1,13,0
"10","4","B","10_4B 1","female",1,0,0,1,13,0
"10","4","B","10_4B 2","female",1,0,0,1,13,0
"10","4","B","10_4B 3","female",1,0.2,5400,1,13,0
"10","4","B","10_4B 4","female",1,0,0,1,13,0
"10","4","B","10_4B 5","female",1,0.2,5400,1,13,0
"10","4","B","10_4B 6","female",1,0,0,1,13,0
"35","4","A","35_4A db3","female",1,1,27000,1,13,1
"35","4","A","35_4A 4","female",1,8,216000,1,13,0
"35","4","A","35_4A 5","female",1,6,162000,1,13,0
"35","4","A","35_4A 6","female",1,0,0,1,13,0
"35","4","B","35_4B 2","female",1,4.2,113400,1,13,0
"35","4","B","35_4B 3","female",10,4,1080000,1,13,0
"35","4","B","35_4B 4","female",10,3.8,1026000,1,13,0
"35","4","B","35_4B 5","female",10,6.4,1728000,1,13,0
"35","4","B","35_4B 6","female",10,2.4,648000,1,13,0
"60","4","A","60_4A 4","female",10,7.2,1944000,1,13,0
"60","4","A","60_4A 5","female",10,3,810000,1,13,0
"60","4","A","60_4A 6","female",10,4,1080000,1,13,0
"60","4","B","60_4B 1","female",1,4.4,237600,1,13,0
"60","4","B","60_4B 2","female",1,5.2,140400,1,13,0
"60","4","B","60_4B 3","female",1,1.8,48600,1,13,0
"60","4","B","60_4B 4","female",1,0.6,16200,1,13,0
