date_d_m,train,(batch)group,box,sample_name,sex,note,PBS_ul,dilution,grid1_CBcount,grid2,grid3,grid4,grid5,average,CB_load (estimate)
30-4,0,1,A,0_1A db1,female,,750,1,0,0,0,0,0,0,0
1-5,0,1,A,0_1A db2,female,,750,1,0,0,0,0,0,0,0
1-5,0,1,A,0_1A db3,female,,750,1,0,0,0,0,0,0,0
1-5,0,1,A,0_1A db4,female,,750,1,0,0,0,0,0,0,0
1-5,0,1,B,0_1B db1,female,,750,1,0,0,0,0,0,0,0
1-5,0,1,B,0_1B db2,female,,750,1,0,0,0,0,0,0,0
1-5,0,1,B,0_1B db3,female,,750,1,0,0,0,0,0,0,0
1-5,0,2,A,0_2A db1,female,,750,10,0,0,0,0,0,0,0
1-5,0,2,A,0_2A db2,female,,750,10,0,0,0,0,0,0,0
2-5,0,1,A,0_1A 5,female,,750,1,0,0,0,0,0,0,0
2-5,0,1,B,0_1B 4,female,,750,1,0,0,0,0,0,0,0
2-5,0,1,B,0_1B 5,female,all 0 train of batch 1 dead,750,1,0,0,0,0,0,0,0
2-5,0,2,A,0_2A 3,female,,750,1,0,0,0,0,0,0,0
2-5,0,2,A,0_2A 4,female,,750,1,0,0,0,0,0,0,0
2-5,0,2,A,0_2A 5,female,all 0 train boxA of batch 2 dead,750,1,0,0,0,0,0,0,0
2-5,0,2,B,0_2B 1,female,,750,1,0,0,0,0,0,0,0
2-5,0,2,B,0_2B 2,female,,750,1,0,0,0,0,0,0,0
2-5,0,2,B,0_2B 3,female,,750,1,0,0,0,0,0,0,0
2-5,60,2,A,60_2A 1,female,,750,1,0,0,0,0,0,0,0
3-5,0,2,B,0_2B 4,female,,750,1,0,0,0,0,0,0,0
4-5,0,2,B,0_2B 5,female,all 0 train bod batch2 dead,750,1,0,0,0,0,0,0,0
4-5,10,1,A,10_1A 1,female,,750,1,0,0,0,0,0,0,0
5-5,10,1,A,10_1A 2,female,"dissect all batch 1, to check Crithidia inoculation",750,1,0,0,0,0,0,0,0
5-5,10,1,A,10_1A 3,female,,750,1,0,0,0,0,0,0,0
5-5,10,1,A,10_1A 4,female,,750,1,0,0,1,0,0,0.2,13500
5-5,10,1,A,10_1A 5,female,,750,1,0,0,0,0,0,0,0
5-5,10,1,B,10_1B 1,female,,750,1,0,0,0,0,0,0,0
5-5,10,1,B,10_1B 2,female,,750,1,0,0,0,0,0,0,0
5-5,10,1,B,10_1B 3,female,,750,1,0,0,0,0,0,0,0
5-5,10,1,B,10_1B 4,female,,750,1,0,0,0,0,0,0,0
5-5,10,1,B,10_1B 5,female,,750,1,0,0,0,0,0,0,0
5-5,35,1,A,35_1A 1,female,,750,1,0,0,0,0,0,0,0
5-5,35,1,A,35_1A 2,female,,750,1,0,1,0,0,1,0.4,27000
5-5,35,1,A,35_1A 3,female,,750,1,6,7,6,3,4,5.2,351000
5-5,35,1,A,35_1A 4,female,,750,1,1,3,2,4,1,2.2,148500
5-5,35,1,A,35_1A 5,female,,750,1,0,0,0,0,0,0,0
5-5,35,1,B,35_1B 1,female,,750,1,0,0,0,0,0,0,0
5-5,35,1,B,35_1B 2,female,,750,1,0,0,0,0,0,0,0
5-5,35,1,B,35_1B 3,female,,750,1,0,0,0,0,0,0,0
5-5,35,1,B,35_1B 4,female,,750,1,0,0,0,0,0,0,0
5-5,35,1,B,35_1B 5,female,,750,1,0,0,0,0,0,0,0
5-5,60,1,A,60_1A 1,female,,750,1,3,6,5,6,5,5,337500
5-5,60,1,A,60_1A 2,female,,750,1,0,0,0,0,0,0,0
5-5,60,1,A,60_1A 3,female,,750,1,4,2,2,4,3,3,202500
5-5,60,1,A,60_1A 4,female,,750,10,5,5,7,3,1,4.2,2835000
5-5,60,1,A,60_1A 5,female,,750,1,6,1,6,5,5,4.6,310500
5-5,60,1,B,60_1B 1,female,,750,1,0,0,0,0,0,0,0
5-5,60,1,B,60_1B 2,female,,750,1,0,0,0,0,0,0,0
5-5,60,1,B,60_1B 3,female,,750,1,0,0,0,0,0,0,0
5-5,60,1,B,60_1B 4,female,,750,1,0,0,0,0,0,0,0
5-5,60,1,B,60_1B 5,female,,750,1,0,0,0,0,0,0,0
7-5,10,2,B,10_2B 1,female,,750,1,0,0,0,0,0,0,0
8-5,0,3,B,0_3B 1,female,,750,1,0,0,0,0,0,0,0
8-5,0,3,B,0_3B 2,female,,750,1,0,0,0,0,0,0,0
8-5,10,2,A,10_2A 1,female,black rotten gut,750,1,0,0,0,0,0,0,0
9-5,35,2,A,35_2A 1,female,,750,1,0,0,0,0,0,0,0
9-5,35,2,B,35_2B 1,female,"body ripped, gut all dried, directly into frozen",750?,NA,NA,NA,NA,NA,NA,NA,NA
9-5,60,2,A,60_2A 2,female,,750,1,0,0,0,0,0,0,0
